,feature,mean,q.05,q.95,type
0,x1,0.000880948868389985,-0.06056410669810923,0.04471692340155389,conditional v(j)
1,x2,0.000708661018095702,-0.049913886525644414,0.07091231380710025,conditional v(j)
2,x3,1.1943181013968733,1.176474289832819,1.2177572603917086,conditional v(j)
3,x4,1.1929420752148725,1.1367762524102973,1.2374596371902533,conditional v(j)
4,x5,0.006010313029745573,-0.03448763511329622,0.038696075021932175,conditional v(j)
5,x6,-0.01191617283341384,-0.05026903760470025,0.024838494833635292,conditional v(j)
6,x1,-5.6162374174362205e-05,-7.949963954129169e-05,-2.8009204913159753e-05,conditional v(-j u j) - v(-j)
7,x2,-4.721808236911596e-05,-7.875807901543962e-05,-2.5340037814769465e-05,conditional v(-j u j) - v(-j)
8,x3,-1.945882334131177e-05,-2.6766691995705472e-05,-1.549586874490805e-05,conditional v(-j u j) - v(-j)
9,x4,-0.0005133014536355729,-0.0007609343598397822,-0.000288496233510216,conditional v(-j u j) - v(-j)
10,x5,4.199015066708167e-05,1.5881148548535505e-05,7.871443697200496e-05,conditional v(-j u j) - v(-j)
11,x6,0.0,0.0,0.0,conditional v(-j u j) - v(-j)
12,x1,-1.2594477678237244,-1.2951978721014534,-1.1969353747444125,marginal v(j)
13,x2,-1.296231222279235,-1.33788636615905,-1.2629438722394282,marginal v(j)
14,x3,-0.06707214157229031,-0.06860324017425992,-0.06546950059149295,marginal v(j)
15,x4,1.1943248966479783,1.1826662702922366,1.2073583964998273,marginal v(j)
16,x5,0.00020290202883144204,7.961503958577864e-05,0.0002998828583589351,marginal v(j)
17,x6,0.0,0.0,0.0,marginal v(j)
18,x1,1.2712304818388642,1.2273863001404883,1.3087245317776504,marginal v(-j u j) - v(-j)
19,x2,1.2870329167986916,1.2630123667993542,1.3071317101118274,marginal v(-j u j) - v(-j)
20,x3,0.0009671896597321483,0.00016916684389908234,0.0015244327881550389,marginal v(-j u j) - v(-j)
21,x4,1.2651228766870681,1.2327343361497327,1.303020232273623,marginal v(-j u j) - v(-j)
22,x5,4.2360967020971255e-05,1.0972653108531904e-05,8.791475061710181e-05,marginal v(-j u j) - v(-j)
23,x6,0.0,0.0,0.0,marginal v(-j u j) - v(-j)
