method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10
Sobol-CPI(1),456369.2178202453,0.8807031093006676,13794.465397106687,0.0,255.4261810144817,-6362.628126902651,15693.2407161312,9162.8068263522,34344.42265312228,630232.9272793676,187290.90925428557,133402.86329188023,44149.70173147647
Sobol-CPI(100),456369.2178202453,0.8807031093006676,17235.136652875884,8.06838864147073e-10,1423.7701045552103,-33398.370317548644,27944.00817476862,4676.206203222524,27164.12487282397,588740.374754215,134521.71286088313,79234.46827327204,53979.479214886145
PFI,456369.2178202453,0.8807031093006676,30185.51750851021,116.85817800392397,52886.008982251806,-40669.39497005503,28895.156626347685,9967.365752387093,19701.97785762226,1654172.057036858,537086.2485478276,120430.29589196097,2485703.9295348506
CFI,456369.2178202453,0.8807031093006676,18730.893986293755,0.0,1103.7492246375186,-18621.911316014593,22703.700317181472,7493.295599066594,27227.896177026094,1155756.962389511,188472.54405300342,134359.68615527148,80254.39496688882
cSAGEvf,456369.2178202453,0.8807031093006676,863056.3022884745,984373.4066209657,295945.70560379326,66427.554630931,-26156.63044660818,-132534.0617792597,442669.369157352,1873038.6451666874,55461.422967804596,154826.2515224181,2025083.7784361872
scSAGEj,456369.2178202453,0.8807031093006676,16021.615978188696,0.0,1210.3444986338727,-31237.067094213562,29610.355043723015,3822.642027003574,24264.518789867172,605722.9324023523,143449.03568878135,73958.9592162873,47586.85829108773
mSAGEvf,456369.2178202453,0.8807031093006676,104159.96220094245,-36205.74254840985,-93245.38835545303,91049.87800151575,242382.29570298595,111725.09005956445,319109.2302457569,1678687.4937811028,131080.38290750794,33907.9189767139,2123067.688162018
cSAGE,456369.2178202453,0.8807031093006676,278580.923445721,550378.7507556243,117205.87748587508,-19014.859723692818,36167.28110727254,2170.595978227955,196893.22071139136,1091235.237053278,175837.65415058428,120183.31052493819,891584.0982482819
mSAGE,456369.2178202453,0.8807031093006676,95466.8171022538,-982.5072422954871,-41823.71297093491,-17250.437445191645,42740.615423755604,-982.9895324383858,98119.70341095216,1298341.2955905732,220600.5871644175,127020.3307393943,1615461.7390709699
LOCO,456369.2178202453,0.8807031093006676,15491.391711257515,13627.231625763641,-21574.151191007346,-31523.82510779408,-17175.899156106287,3018.8098068927648,13986.933554246207,146694.6405932199,-16051.500655428099,-22415.21237246762,-1151.4085594034404
LOCO-W,456369.2178202453,0.8807031093006676,-3924.3632529342367,-139799.46654152547,-11494.410213413392,2560.3024665909847,-130773.89562379835,13605.637552811235,-54182.754209647006,215873.15950705856,-102683.60310628006,-163111.3716631127,63453.4054225013
LOCI,456369.2178202453,0.8807031093006676,1480412.4038937953,975490.4886943866,1566102.064845202,-5522.253212559503,-24911.500886800233,-31054.785813830327,452078.4955750988,2136565.28278327,133201.09605892422,189384.16052607866,3043719.3615010725
