method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10
Sobol-CPI(1),482479.44551162515,0.8703215456118002,36987.16197437467,0.0,3606.4839786042285,-1724.3946879243013,6629.5820735153975,3384.4893691982143,19540.52286392206,321464.98592254624,54373.294253029395,45113.18242798513,19029.22196726236
Sobol-CPI(100),482479.44551162515,0.8703215456118002,41447.78160461649,-6.339448218298431e-10,4265.180436632306,-2643.2023801757277,13111.393293897947,3613.070625981367,7112.70892950395,334176.4970599336,132427.65455773173,48318.77489696259,16129.28121539967
PFI,482479.44551162515,0.8703215456118002,100260.271407792,251187.8529590442,70119.38471743243,148.13119603227824,16716.227231411904,10607.947063521831,139340.21893064934,1012977.4122909515,310957.8275719676,92849.35455764912,1341701.1853913877
CFI,482479.44551162515,0.8703215456118002,54998.138951854664,0.0,8504.499757624813,-3111.4789392041857,20186.853633602615,-9171.11499244941,130497.56686941175,701914.705490229,181313.91113702755,66569.55164779932,25161.158992689278
cSAGEvf,482479.44551162515,0.8703215456118002,700381.0993476571,1326487.014328578,642422.5992911169,-197090.76811692584,-92574.28961378708,-24219.14164283173,270096.5324837649,1413875.620112244,34324.66861909209,130901.63114163186,2337895.8998262817
scSAGEj,482479.44551162515,0.8703215456118002,48812.108818523586,0.0,4118.719322357152,-2747.812693163345,12740.14820010966,3374.178368078312,9150.605891447864,352410.8215396898,137118.2175793792,51145.91022260126,16548.235506761004
mSAGEvf,482479.44551162515,0.8703215456118002,473362.16234411625,755831.9172767107,298928.7680463586,-245902.93529310264,147689.33743369905,-127442.76254932815,435763.4713571565,1118090.2418086915,167972.18593119504,18531.635005535558,1518987.4797793664
cSAGE,482479.44551162515,0.8703215456118002,270494.7205775772,720204.2698143587,207658.95309376298,-9791.621415712036,11251.81291650405,-2523.508509101395,176443.83378082808,699649.2456350074,197910.71341349563,77043.71472375424,1001057.8190258859
mSAGE,482479.44551162515,0.8703215456118002,252136.85707208276,415595.73468228744,165308.42259533098,-3888.591064618724,11542.198557007663,2753.9217209758435,136836.30450666609,844979.2769984687,196502.41155433678,63118.40604350569,1264329.24136601
LOCO,482479.44551162515,0.8703215456118002,-11564.438571028179,-2868.33938361099,-12481.314891907852,-4252.549564173038,3167.081683003984,-4830.132668499777,31536.87386061158,61327.54714436107,149459.63950977416,17943.33792054816,19151.549031290982
LOCO-W,482479.44551162515,0.8703215456118002,210745.59829085018,6410.246109456466,-131804.38373772794,-23648.88856349239,111334.9878670488,-2516.4111577854255,79578.85060881784,126162.53090923888,118801.49662151358,-45.83143116954063,10733.712011664433
LOCI,482479.44551162515,0.8703215456118002,1101102.4132535695,1297964.6429348472,1272076.4876966728,-123785.52341277152,-77937.98351255944,-83159.98389329854,433085.74951406615,1371432.7706063604,-157897.97826484498,-182254.71952061076,2828381.9544536574
